"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016","ES300","Madrid",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016","ES618","Sevilla",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016","ITC11","Torino",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016","ITC41","Varese",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2016","PT300","Regiao Autonoma da Madeira",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2017","FR824","Bouches-du-Rhone",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2018","DEE03","Magdeburg, Kreisfreie Stadt",2.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2019","DE71C","Offenbach, Landkreis",1.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired cases","N","2019","FRL05","Var",3.000000000,""
"Zika virus infection","Reported cases","Number of locally-acquired vector-borne cases","N","2019","FRL05","Var",3.000000000,""
