"year","disease","region_name","case_numbers","nutM_code"
2013,"Dengue",NA,NA,"FRL04"
2014,"Dengue",NA,NA,"FRL05"
2014,"Dengue",NA,NA,"FRL04"
2014,"Dengue",NA,NA,"FRL05"
2014,"Dengue",NA,NA,"FRL04"
2015,"Dengue",NA,NA,"FRJ12"
2015,"Dengue",NA,NA,"FRJ12"
2015,"Dengue",NA,NA,"FRJ12"
2015,"Dengue",NA,NA,"FRJ12"
2015,"Dengue",NA,NA,"FRJ12"
2015,"Dengue",NA,NA,"FRJ12"
2015,"Dengue",NA,NA,"FRJ12"
2015,"Dengue",NA,NA,"FRJ12"
2018,"Dengue",NA,NA,"FRL03"
2018,"Dengue",NA,NA,"FRL03"
2018,"Dengue",NA,NA,"ES620"
2018,"Dengue",NA,NA,"FRJ13"
2018,"Dengue",NA,NA,"FRL03"
2018,"Dengue",NA,NA,"ES620"
2018,"Dengue",NA,NA,"FRJ12"
2018,"Dengue",NA,NA,"FRL03"
2018,"Dengue",NA,NA,"FRL03"
2018,"Dengue",NA,NA,"FRJ13"
2018,"Dengue",NA,NA,"ES511"
2019,"Dengue",NA,NA,"FRK26"
2019,"Dengue",NA,NA,"FRL03"
2019,"Dengue",NA,NA,"FRL03"
2019,"Dengue",NA,NA,"FRK26"
2019,"Dengue",NA,NA,"FRL03"
2019,"Dengue",NA,NA,"FRL03"
2019,"Dengue",NA,NA,"ES511"
2019,"Dengue",NA,NA,"FRL03"
2019,"Dengue",NA,NA,"FRL03"
2019,"Dengue",NA,NA,"ES300"
2019,"Dengue",NA,NA,"FRL03"
2020,"Dengue",NA,NA,"FRJ13"
2020,"Dengue",NA,NA,"FRL05"
2020,"Dengue",NA,NA,"FRL05"
2020,"Dengue",NA,NA,"FRL05"
2020,"Dengue",NA,NA,"FRL03"
2020,"Dengue",NA,NA,"FRL03"
2020,"Dengue",NA,NA,"ITH32"
2020,"Dengue",NA,NA,"ITH32"
2020,"Dengue",NA,NA,"ITH32"
2020,"Dengue",NA,NA,"ITH32"
2020,"Dengue",NA,NA,"ITH32"
2020,"Dengue",NA,NA,"FRL03"
2020,"Dengue",NA,NA,"FRJ12"
2020,"Dengue",NA,NA,"FRL03"
2020,"Dengue",NA,NA,"ITH32"
2020,"Dengue",NA,NA,"ITH32"
2020,"Dengue",NA,NA,"ITH32"
2020,"Dengue",NA,NA,"FRJ12"
2020,"Dengue",NA,NA,"FRL03"
2020,"Dengue",NA,NA,"ITH32"
2020,"Dengue",NA,NA,"ITH32"
2020,"Dengue",NA,NA,"FRL03"
2020,"Dengue",NA,NA,"FRL03"
2020,"Dengue",NA,NA,"ITH32"
2021,"Dengue",NA,NA,"FRL05"
2021,"Dengue",NA,NA,"FR101"
2021,"Dengue",NA,NA,"FRJ13"
2022,"Dengue",NA,NA,"FRJ15"
2022,"Dengue",NA,NA,"FRL05"
2022,"Dengue",NA,NA,"FRL05"
2022,"Dengue",NA,NA,"FRL05"
2022,"Dengue",NA,NA,"FRJ26"
2022,"Dengue",NA,NA,"FRL05"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL05"
2022,"Dengue",NA,NA,"FRL05"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRJ26"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRJ26"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRJ23"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRJ23"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRJ23"
2022,"Dengue",NA,NA,"FRJ23"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRJ26"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRL03"
2022,"Dengue",NA,NA,"FRJ28"
2022,"Dengue",NA,NA,"FRL03"
